"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC"
"1",1,"5760401c91f8b40006c334be","smooth","SR",2.5875,3.0875,3,3,234,58.9475806451613,54.3891129032258,1,"smooth",-1.28840758751235,1.28840758751235
"2",2,"5760401c91f8b40006c334be","rough","SR",4.49166666666667,2.5875,0,0,238,49.8306451612902,54.3891129032258,2,"rough",-1.81012390916435,1.81012390916435
"3",3,"5c754b537c5650001716216f","smooth","RS",1.55833333333333,1.94166666666667,76,76,164,65.9516129032255,61.9596774193547,2,"smooth",1.05897904592666,-1.05897904592666
"4",4,"5c754b537c5650001716216f","rough","RS",1.65833333333333,1.9125,129,129,109,57.9677419354839,61.9596774193547,1,"rough",2.02858315993221,-2.02858315993221
"5",5,"5fa41da4e4209b0314c4ba5b","smooth","RS",2.12083333333333,2.63333333333333,16,16,210,63.0685483870967,61.0504032258065,2,"smooth",-0.514945321422039,0.514945321422039
"6",6,"5fa41da4e4209b0314c4ba5b","rough","RS",2.40416666666667,2.25416666666667,95,95,141,59.0322580645162,61.0504032258065,1,"rough",0.944702221940467,-0.944702221940467
"7",7,"5f35644aea047150c84f1245","smooth","SR",1.19583333333333,1.58333333333333,44,44,194,58.9838709677419,60.4153225806452,1,"smooth",0.828961051254525,-0.828961051254525
"8",8,"5f35644aea047150c84f1245","rough","SR",1.06666666666667,1.29166666666667,114,114,126,61.8467741935485,60.4153225806452,2,"rough",2.30813551655526,-2.30813551655526
"9",9,"5f452661c5a1b50a817ab094","smooth","RS",1.69166666666667,1.97916666666667,6,6,232,56.4233870967741,51.0201612903226,2,"smooth",-0.28050876371756,0.28050876371756
"10",10,"5f452661c5a1b50a817ab094","rough","RS",2.92083333333333,2.5375,0,0,238,45.6169354838711,51.0201612903226,1,"rough",-1.17574554479943,1.17574554479943
"11",11,"6042595b3e78690f1d16d607","smooth","SR",3.71666666666667,3.50416666666667,5,5,234,57.508064516129,54.4899193548386,1,"smooth",-1.93788336424031,1.93788336424031
"12",12,"6042595b3e78690f1d16d607","rough","SR",3.8875,3.07083333333333,0,0,236,51.4717741935482,54.4899193548386,2,"rough",-1.82696983332058,1.82696983332058
"13",13,"5e29e902c2253a0587298e26","smooth","RS",1.69166666666667,1.85,129,129,110,67.9516129032258,65.6673387096774,2,"smooth",2.0411829901315,-2.0411829901315
"14",14,"5e29e902c2253a0587298e26","rough","RS",1.71666666666667,1.62916666666667,140,140,100,63.383064516129,65.6673387096774,1,"rough",2.34705960139464,-2.34705960139464
"15",15,"5fccc12e239558aff7566c2b","smooth","RS",3.20416666666667,2.77083333333333,7,7,233,57.9959677419356,53.5907258064516,2,"smooth",-1.30484608427654,1.30484608427654
"16",16,"5fccc12e239558aff7566c2b","rough","RS",3.20416666666667,3.05,2,2,235,49.1854838709676,53.5907258064516,1,"rough",-1.52405571715453,1.52405571715453
"17",17,"60e5d3a91561c1746aa12a5e","smooth","SR",2.575,2.425,40,40,198,62.0766129032258,57.8548387096774,1,"smooth",-0.244974315009358,0.244974315009358
"18",18,"60e5d3a91561c1746aa12a5e","rough","SR",2.63333333333333,2.05,83,83,157,53.6330645161291,57.8548387096774,2,"rough",0.712209887773174,-0.712209887773174
"19",19,"5fd782d0e7c86f0aabd0c60f","smooth","SR",2.2125,2.85,40,40,198,63.2822580645161,63.3467741935484,1,"smooth",-0.341258557636239,0.341258557636239
"20",20,"5fd782d0e7c86f0aabd0c60f","rough","SR",1.78333333333333,2.1,118,118,121,63.4112903225806,63.3467741935484,2,"rough",1.66476768704587,-1.66476768704587
"21",21,"5dd6e0d686411b682f620fd7","smooth","SR",2.1125,2.42916666666667,123,123,117,67.9153225806453,62.4274193548387,1,"smooth",1.43723197959641,-1.43723197959641
"22",22,"5dd6e0d686411b682f620fd7","rough","SR",3.19583333333333,3.1625,128,128,111,56.9395161290322,62.4274193548387,2,"rough",0.712335538418729,-0.712335538418729
"23",23,"61437c3f4ea1ad131887a3f7","smooth","RS",2.75416666666667,2.72083333333333,26,26,205,60.6935483870968,56.9858870967741,2,"smooth",-0.67084647841189,0.67084647841189
"24",24,"61437c3f4ea1ad131887a3f7","rough","RS",5.4875,2.575,21,21,209,53.2782258064514,56.9858870967741,1,"rough",-1.7278234640596,1.7278234640596
"25",25,"60267ea2c1e12331ce6a3f21","smooth","SR",0.916666666666667,1.14583333333333,123,123,116,64.625,61.7782258064516,1,"smooth",2.62170731205645,-2.62170731205645
"26",26,"60267ea2c1e12331ce6a3f21","rough","SR",0.416666666666667,0.620833333333333,171,171,68,58.9314516129031,61.7782258064516,2,"rough",3.9882635372373,-3.9882635372373
"27",27,"5e6eb0c2ea842f48219103a4","smooth","RS",3.07916666666667,2.7625,16,16,218,59.3951612903226,54.8427419354839,2,"smooth",-1.03100064475752,1.03100064475752
"28",28,"5e6eb0c2ea842f48219103a4","rough","RS",5.32916666666667,2.9,10,10,224,50.2903225806453,54.8427419354839,1,"rough",-2.086487105772,2.086487105772
"29",29,"5fddb46833528a49580c72fe","smooth","SR",3.31666666666667,3.40416666666667,3,3,235,61.717741935484,60.1391129032259,1,"smooth",-1.75529138835375,1.75529138835375
"30",30,"5fddb46833528a49580c72fe","rough","SR",1.6,1.80416666666667,98,98,140,58.5604838709678,60.1391129032259,2,"rough",1.54195159997182,-1.54195159997182
"31",31,"5e1a5871fb00b62d79e4de6e","smooth","SR",1.74583333333333,1.74166666666667,18,18,210,56.4032258064516,52.2721774193548,1,"smooth",0.143742885469192,-0.143742885469192
"32",32,"5e1a5871fb00b62d79e4de6e","rough","SR",4.32916666666667,3.38333333333333,6,6,223,48.141129032258,52.2721774193548,2,"rough",-1.99612960315543,1.99612960315543
"33",33,"5de8e8c758776a000ba1def7","smooth","RS",1.80833333333333,2.0125,93,93,141,59.4233870967744,54.8830645161291,2,"smooth",1.29094404835153,-1.29094404835153
"34",34,"5de8e8c758776a000ba1def7","rough","RS",3.02916666666667,2.54583333333333,22,22,215,50.3427419354838,54.8830645161291,1,"rough",-0.808861026181948,0.808861026181948
"35",35,"61073189bb137b703f6d7b59","smooth","SR",3.45,2.61666666666667,2,2,236,60.0241935483871,55.0423387096774,1,"smooth",-1.38736082965617,1.38736082965617
"36",36,"61073189bb137b703f6d7b59","rough","SR",4.58333333333333,2.575,0,0,239,50.0604838709676,55.0423387096774,2,"rough",-1.84784555037102,1.84784555037102
"37",37,"5bcae4e85c2b810001dc2466","smooth","RS",2.76666666666667,2.65833333333333,53,53,182,56.3145161290324,51.1310483870969,2,"smooth",-0.182108493792952,0.182108493792952
"38",38,"5bcae4e85c2b810001dc2466","rough","RS",3.27083333333333,3.00833333333333,1,1,236,45.9475806451614,51.1310483870969,1,"rough",-1.54500320031692,1.54500320031692
"39",39,"5f3692bf1640190638ebb687","smooth","SR",2.33333333333333,2.55833333333333,9,9,231,55.9435483870967,52.2197580645161,1,"smooth",-0.813704200690601,0.813704200690601
"40",40,"5f3692bf1640190638ebb687","rough","SR",5.49583333333333,2.62916666666667,6,6,232,48.4959677419355,52.2197580645161,2,"rough",-2.11084653869755,2.11084653869755
"41",41,"5ebd3bbcecfc7d00085d0f9e","smooth","RS",0.9125,1.075,151,151,89,58.2016129032259,58.0887096774194,2,"smooth",3.1677006323348,-3.1677006323348
