"","X.1","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"1",1,1,"5760401c91f8b40006c334be","smooth","SR",2.5875,3.0875,3,3,234,58.9475806451613,54.3891129032258,1,"smooth",-1.28840758751235,1.28840758751235,1,0.975,0.0125,4.16087379385179,0.621429159497063,0.0605625759256966,0.695075365283596,0.103388086093295,-0.103082015888868,861.659163768853,-4,3,-1.90416666666667,0.5,0.619184543126523,-0.206608372079514,-1.21779566114133
"2",2,2,"5760401c91f8b40006c334be","rough","SR",4.49166666666667,2.5875,0,0,238,49.8306451612902,54.3891129032258,2,"rough",-1.81012390916435,1.81012390916435,1,0.991666666666667,0,0.839671045962693,0.489782813706588,0.0767867620738823,0.695075365283596,0.103388086093295,-0.103082015888868,828.660089895359,-4,3,-1.90416666666667,0.5,-0.0758908221570726,-0.309996458172808,-1.11471364525247
"3",3,3,"5c754b537c5650001716216f","smooth","RS",1.55833333333333,1.94166666666667,76,76,164,65.9516129032255,61.9596774193547,2,"smooth",1.05897904592666,-1.05897904592666,1,0.683333333333333,0.316666666666667,10.3343442083181,0.195177843061228,0.0634743403590049,1.10016566639649,0.161348797971571,0.188915698286977,808.871011480464,55,-53,-0.1,0.0291666666666699,1.01428292259417,-0.70956948575956,-1.19740180372612
"4",4,4,"5c754b537c5650001716216f","rough","RS",1.65833333333333,1.9125,129,129,109,57.9677419354839,61.9596774193547,1,"rough",2.02858315993221,-2.02858315993221,1,0.454166666666667,0.5375,0.820573062892649,0.134611361316585,0.0410849249503816,1.10016566639649,0.161348797971571,0.188915698286977,624.56586188221,55,-53,-0.1,0.0291666666666699,-0.0858827438023205,-0.870918283731131,-1.3863175020131
"5",5,5,"5fa41da4e4209b0314c4ba5b","smooth","RS",2.12083333333333,2.63333333333333,16,16,210,63.0685483870967,61.0504032258065,2,"smooth",-0.514945321422039,0.514945321422039,1,0.875,0.0666666666666667,0.715056281825873,0.393620378887334,0.0882646115816182,-0.0190646481113589,0.271860085117014,0.15650890503215,906.747054243902,69,-79,-0.28333333333334,0.37916666666666,-0.145659773689217,-0.40492242495308,-1.05421338561159
"6",6,6,"5fa41da4e4209b0314c4ba5b","rough","RS",2.40416666666667,2.25416666666667,95,95,141,59.0322580645162,61.0504032258065,1,"rough",0.944702221940467,-0.944702221940467,1,0.5875,0.395833333333333,0.747144965565938,0.210483225286283,0.0615570373005082,-0.0190646481113589,0.271860085117014,0.15650890503215,874.552145833625,69,-79,-0.28333333333334,0.37916666666666,-0.126595125577858,-0.676782510070094,-1.21072229064374
"7",7,7,"5f35644aea047150c84f1245","smooth","SR",1.19583333333333,1.58333333333333,44,44,194,58.9838709677419,60.4153225806452,1,"smooth",0.828961051254525,-0.828961051254525,1,0.808333333333333,0.183333333333333,0.658486764157386,0.343729625737756,0.0557902914737508,-0.0285593196235115,0.137501544312933,0.068258658793396,663.772220743921,68,-70,0.12916666666666,0.29166666666666,-0.181452950104143,-0.463783034810849,-1.25344136963263
"8",8,8,"5f35644aea047150c84f1245","rough","SR",1.06666666666667,1.29166666666667,114,114,126,61.8467741935485,60.4153225806452,2,"rough",2.30813551655526,-2.30813551655526,1,0.525,0.475,0.703244540869874,0.250446761862945,0.0476760176161944,-0.0285593196235115,0.137501544312933,0.068258658793396,645.78908157535,68,-70,0.12916666666666,0.29166666666666,-0.152893630480631,-0.601284579123782,-1.32170002842603
"9",9,9,"5f452661c5a1b50a817ab094","smooth","RS",1.69166666666667,1.97916666666667,6,6,232,56.4233870967741,51.0201612903226,2,"smooth",-0.28050876371756,0.28050876371756,1,0.966666666666667,0.025,24.0988100186131,1.68776175153137,0.0665972186715909,1.5631755850027,0.625511279296036,-0.0141924339693333,951.43909728762,-6,6,-1.22916666666666,-0.55833333333333,1.38199559796452,0.227311140572847,-1.176543908079
"10",10,10,"5f452661c5a1b50a817ab094","rough","RS",2.92083333333333,2.5375,0,0,238,45.6169354838711,51.0201612903226,1,"rough",-1.17574554479943,1.17574554479943,1,0.991666666666667,0,0.658900766801517,0.399760483107858,0.06880951961589,1.5631755850027,0.625511279296036,-0.0141924339693333,851.033955019143,-6,6,-1.22916666666666,-0.55833333333333,-0.181179987038177,-0.398200138723188,-1.16235147410967
"11",11,11,"6042595b3e78690f1d16d607","smooth","SR",3.71666666666667,3.50416666666667,5,5,234,57.508064516129,54.4899193548386,1,"smooth",-1.93788336424031,1.93788336424031,1,0.975,0.0208333333333333,4.63304224841687,0.691576629048113,0.0633706191430154,0.838975043133467,0.235103678314629,-0.0711707147866538,935.78712948408,-2,5,-0.17083333333333,0.43333333333334,0.665866260524903,-0.160159691579348,-1.19811204971425
"12",12,12,"6042595b3e78690f1d16d607","rough","SR",3.8875,3.07083333333333,0,0,236,51.4717741935482,54.4899193548386,2,"rough",-1.82696983332058,1.82696983332058,1,0.983333333333333,0,0.671260693673771,0.402472888029778,0.0746549596505077,0.838975043133467,0.235103678314629,-0.0711707147866538,846.442872377287,-2,5,-0.17083333333333,0.43333333333334,-0.173108782608564,-0.395263369893977,-1.1269413349276
"13",13,13,"5e29e902c2253a0587298e26","smooth","RS",1.69166666666667,1.85,129,129,110,67.9516129032258,65.6673387096774,2,"smooth",2.0411829901315,-2.0411829901315,1,0.458333333333333,0.5375,5.70181929117629,0.00673794699908547,0.0598504873258358,1.31667381154488,-1.45013836495362,0.116009231881644,668.50310874981,10,-11,-0.0249999999999999,0.22083333333333,0.756013449015424,-2.17147240951626,-1.22293230904939
"14",14,14,"5e29e902c2253a0587298e26","rough","RS",1.71666666666667,1.62916666666667,140,140,100,63.383064516129,65.6673387096774,1,"rough",2.34705960139464,-2.34705960139464,1,0.416666666666667,0.583333333333333,0.275004396823862,0.189961659729978,0.0458203559961393,1.31667381154488,-1.45013836495362,0.116009231881644,563.610407753752,10,-11,-0.0249999999999999,0.22083333333333,-0.560660362529459,-0.721334044562635,-1.33894154093103
"15",15,15,"5fccc12e239558aff7566c2b","smooth","RS",3.20416666666667,2.77083333333333,7,7,233,57.9959677419356,53.5907258064516,2,"smooth",-1.30484608427654,1.30484608427654,1,0.970833333333333,0.0291666666666667,0.614948861155154,0.479962316966867,0.0854324809817876,-0.0911238822477988,0.0267059934588293,0.0232268058386993,825.196911793327,-2,5,0,-0.27916666666667,-0.211160998438502,-0.318792858823962,-1.06837698142757
"16",16,16,"5fccc12e239558aff7566c2b","rough","RS",3.20416666666667,3.05,2,2,235,49.1854838709676,53.5907258064516,1,"rough",-1.52405571715453,1.52405571715453,1,0.979166666666667,0.00833333333333333,0.758512747341945,0.451337218095709,0.0809834385131927,-0.0911238822477988,0.0267059934588293,0.0232268058386993,885.342457556411,-2,5,0,-0.27916666666667,-0.120037116190703,-0.345498852282791,-1.09160378726627
"17",17,17,"60e5d3a91561c1746aa12a5e","smooth","SR",2.575,2.425,40,40,198,62.0766129032258,57.8548387096774,1,"smooth",-0.244974315009358,0.244974315009358,1,0.825,0.166666666666667,0.679461099647364,0.372537749010476,0.0737252351777561,-0.030370688535798,0.322107315764545,0.239938184814288,932.784296648208,41,-43,-0.05833333333333,0.375,-0.167835402348847,-0.428829713905453,-1.13238383340839
"18",18,18,"60e5d3a91561c1746aa12a5e","rough","SR",2.63333333333333,2.05,83,83,157,53.6330645161291,57.8548387096774,2,"rough",0.712209887773174,-0.712209887773174,1,0.654166666666667,0.345833333333333,0.728677376742796,0.17744467473341,0.0424304836122948,-0.030370688535798,0.322107315764545,0.239938184814288,861.712417913116,41,-43,-0.05833333333333,0.375,-0.137464713813049,-0.750937029669998,-1.37232201822268
"19",19,19,"5fd782d0e7c86f0aabd0c60f","smooth","SR",2.2125,2.85,40,40,198,63.2822580645161,63.3467741935484,1,"smooth",-0.341258557636239,0.341258557636239,1,0.825,0.166666666666667,0.707166044729728,0.37841602740785,0.0791638671252139,-0.0459637390815549,0.178705583324955,0.179744229995893,866.228951586529,77,-78,0.42916666666667,0.75,-0.150478600569277,-0.42203047780042,-1.10147299882492
"20",20,20,"5fd782d0e7c86f0aabd0c60f","rough","SR",1.78333333333333,2.1,118,118,121,63.4112903225806,63.3467741935484,2,"rough",1.66476768704587,-1.66476768704587,1,0.504166666666667,0.491666666666667,0.786113290016778,0.250763278308497,0.0523338603500283,-0.0459637390815549,0.178705583324955,0.179744229995893,636.553835470502,77,-78,0.42916666666667,0.75,-0.104514861487722,-0.600736061125375,-1.28121722882081
"21",21,21,"5dd6e0d686411b682f620fd7","smooth","SR",2.1125,2.42916666666667,123,123,117,67.9153225806453,62.4274193548387,1,"smooth",1.43723197959641,-1.43723197959641,1,0.4875,0.5125,13.9859407605644,0.805000333841284,0.0561420834134759,1.45727247763275,0.792416616030076,0.126090643355464,652.746629116217,6,-5,-1.08333333333333,-0.73333333333333,1.14569168439225,-0.0942039395260478,-1.25071147488314
"22",22,22,"5dd6e0d686411b682f620fd7","rough","SR",3.19583333333333,3.1625,128,128,111,56.9395161290322,62.4274193548387,2,"rough",0.712335538418729,-0.712335538418729,1,0.4625,0.533333333333333,0.487999308675363,0.129831311581008,0.0419950286383199,1.45727247763275,0.792416616030076,0.126090643355464,715.498476998602,6,-5,-1.08333333333333,-0.73333333333333,-0.311580793240502,-0.886620555556124,-1.3768021182386
"23",23,23,"61437c3f4ea1ad131887a3f7","smooth","RS",2.75416666666667,2.72083333333333,26,26,205,60.6935483870968,56.9858870967741,2,"smooth",-0.67084647841189,0.67084647841189,1,0.854166666666667,0.108333333333333,0.713611287757579,0.420659147008105,0.0786224011240298,-0.00457760742357416,0.0455175470715761,0.0366411364201031,818.681404804259,-4,5,-2.73333333333333,0.14583333333333,-0.146538288996201,-0.37606966314453,-1.10445369698257
"24",24,24,"61437c3f4ea1ad131887a3f7","rough","RS",5.4875,2.575,21,21,209,53.2782258064514,56.9858870967741,1,"rough",-1.7278234640596,1.7278234640596,1,0.870833333333333,0.0875,0.721172766900602,0.378802459188818,0.0722611995387555,-0.00457760742357416,0.0455175470715761,0.0366411364201031,850.344190794151,-4,5,-2.73333333333333,0.14583333333333,-0.141960681572627,-0.421587210216106,-1.14109483340267
"25",25,25,"60267ea2c1e12331ce6a3f21","smooth","SR",0.916666666666667,1.14583333333333,123,123,116,64.625,61.7782258064516,1,"smooth",2.62170731205645,-2.62170731205645,1,0.483333333333333,0.5125,5.7576629348047,0.0513428323235908,0.0465649881695668,1.06043773592553,-0.493772312023112,0.204288196345559,709.665497352288,48,-48,0.5,0.524999999999997,0.760246236811752,-1.2895201771804,-1.33194050304714
"26",26,26,"60267ea2c1e12331ce6a3f21","rough","SR",0.416666666666667,0.620833333333333,171,171,68,58.9314516129031,61.7782258064516,2,"rough",3.9882635372373,-3.9882635372373,1,0.283333333333333,0.7125,0.500966287338499,0.160048694073073,0.0290918473848911,1.06043773592553,-0.493772312023112,0.204288196345559,418.692437982225,48,-48,0.5,0.524999999999997,-0.300191499113776,-0.795747865157287,-1.53622869939269
"27",27,27,"5e6eb0c2ea842f48219103a4","smooth","RS",3.07916666666667,2.7625,16,16,218,59.3951612903226,54.8427419354839,2,"smooth",-1.03100064475752,1.03100064475752,1,0.908333333333333,0.0666666666666667,6.1189279398171,0.848665823736288,0.0703141434139966,0.865256878742815,0.408123516844295,0.0582639011884594,898.944526089528,-6,6,-2.25,-0.1375,0.786675338713224,-0.0712632867612488,-1.15295730956265
