subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC
h8XuoR0c,smooth,RS,112.291.666.666.667,139.791.666.666.667,173,173,307,659.858.870.967.742,609.324.596.774.194,2,smooth,0.793605007,-0.793605007
h8XuoR0c,rough,RS,139.583.333.333.333,148.541.666.666.667,159,159,318,558.790.322.580.645,609.324.596.774.194,1,rough,0.513646643,-0.513646643
pVH8Cnvo,smooth,SR,169.375,184.375,11,11,465,605.362.903.225.806,593.790.322.580.645,1,smooth,-107.799.154.823.694,107.799.154.823.694
pVH8Cnvo,rough,SR,12.125,121.458.333.333.333,224,224,255,582.217.741.935.484,593.790.322.580.645,2,rough,129.917.459.356.079,-129.917.459.356.079
x1ehpmAF,smooth,RS,241.041.666.666.667,242.708.333.333.333,35,35,415,587.802.419.354.839,517.943.548.387.097,2,smooth,-144.359.767.544.792,144.359.767.544.792
x1ehpmAF,rough,RS,429.375,287.083.333.333.333,8,8,447,448.084.677.419.355,517.943.548.387.097,1,rough,-280.103.103.270.918,280.103.103.270.918
AuCCd4oS,smooth,SR,275.208.333.333.333,29.375,110,110,369,663.064.516.129.032,6.221.875,1,smooth,-14.019.111.806.589,14.019.111.806.589
AuCCd4oS,rough,SR,120.833.333.333.333,130.416.666.666.667,316,316,160,581.310.483.870.968,6.221.875,2,rough,203.137.823.811.808,-203.137.823.811.808
0H4PEg6z,smooth,SR,183.958.333.333.333,177.708.333.333.333,267,267,212,612.177.419.354.839,605.836.693.548.387,1,smooth,1.035.853.415.732,-1.035.853.415.732
0H4PEg6z,rough,SR,110.833.333.333.333,110.625,394,394,82,599.495.967.741.936,605.836.693.548.387,2,rough,2.852.693.685.963,-2.852.693.685.963
N4LWuRgd,smooth,RS,124.166.666.666.667,161.458.333.333.333,254,254,226,687.278.225.806.452,645.241.935.483.871,2,smooth,128.797.058.619.421,-128.797.058.619.421
N4LWuRgd,rough,RS,125.625,147.083.333.333.333,274,274,205,60.320.564.516.129,645.241.935.483.871,1,rough,154.212.236.651.619,-154.212.236.651.619
ucvaem47,smooth,RS,233.958.333.333.333,203.541.666.666.667,5,5,469,560.141.129.032.258,505.110.887.096.774,2,smooth,-152.469.734.647.692,152.469.734.647.692
ucvaem47,rough,RS,462.083.333.333.333,247.916.666.666.667,4,4,465,45.008.064.516.129,505.110.887.096.774,1,rough,-27.982.226.273.139,27.982.226.273.139
iW4dEHOH,smooth,SR,287.708.333.333.333,316.041.666.666.667,35,35,436,543.528.225.806.452,532.701.612.903.226,1,smooth,-219.068.861.928.421,219.068.861.928.421
iW4dEHOH,rough,SR,250.416.666.666.667,245.416.666.666.667,101,101,349,521.875,532.701.612.903.226,2,rough,-0.947523179,0.947523179
hv80M7Es,smooth,RS,17.375,184.166.666.666.667,211,211,263,636.733.870.967.742,609.385.080.645.161,2,smooth,0.592237214,-0.592237214
hv80M7Es,rough,RS,234.375,228.958.333.333.333,204,204,271,582.036.290.322.581,609.385.080.645.161,1,rough,-0.015567312,0.015567312
NiFE0W3W,smooth,RS,0.652083333,0.822916667,360,360,120,648.588.709.677.419,612.409.274.193.548,2,smooth,292.712.221.480.874,-292.712.221.480.874
NiFE0W3W,rough,RS,0.79375,101.041.666.666.667,356,356,122,576.229.838.709.677,612.409.274.193.548,1,rough,272.373.244.035.041,-272.373.244.035.041
1t4AGMJm,smooth,SR,1.55,231.666.666.666.667,216,216,262,676.149.193.548.387,615.171.370.967.742,1,smooth,0.408477925,-0.408477925
1t4AGMJm,rough,SR,173.541.666.666.667,227.083.333.333.333,230,230,240,554.193.548.387.097,615.171.370.967.742,2,rough,0.50571793,-0.50571793
JHYYuAgs,smooth,SR,4.225,199.791.666.666.667,64,64,328,417.479.838.709.677,411.350.806.451.613,1,smooth,-149.691.650.068.586,149.691.650.068.586
JHYYuAgs,rough,SR,563.333.333.333.333,184.166.666.666.667,25,25,369,405.221.774.193.548,411.350.806.451.613,2,rough,-236.245.064.811.077,236.245.064.811.077
