,prolificID,assigned_condition,time_elapsed,rt,type,answer,difference?
1,672f9ecf9e2cd165b16e98e1,0,1856408,24323,debrief,I DIG THERE WHERE THE PATH TO THE HIGHER NUMBERS LEAD,
2,672f9ecf9e2cd165b16e98e1,0,1874422,18009,debrief,i didnt see a diference,NO
3,5b258c9ba7cee100011d8aad,3,695327,48345,debrief,"If the first spot was above 60 I stayed around there but if it was below 60 I would scan around for a better spot and then after 5-10 clicks, I would select the highest square I found for the remainder",
4,5b258c9ba7cee100011d8aad,3,704601,9271,debrief,I did not notice any difference between them,NO
5,5d7d467f306346001a7a6844,0,895581,18036,debrief,First i tried corners and then i decided where to go next,
6,5d7d467f306346001a7a6844,0,924771,29190,debrief,Second forest was harder to guess,DIFF
7,668796f32bb0599e8ff9bfef,1,1123031,49261,debrief,"According to where I saw there were more, according to how dark the color was (red).",
8,668796f32bb0599e8ff9bfef,1,1155014,31979,debrief,"I didn't really notice any difference between them, so I continued the same way.",NO
9,5e56c5f6ca5e640720f2cc28,0,1130284,32348,debrief,"Some random click in corners, far ares. Then searching for one specific spot with most truffles in it, then farming this spto",
10,5e56c5f6ca5e640720f2cc28,0,1171951,41666,debrief,"I one there was higher truffle count, but i searched in the same way.",DIFF
11,67276dbe692855fb2502a266,3,1280298,69559,debrief,"I checked random locations until I found a pretty good spot, and after I checked around it to see if there are better ones. If I found one above seventy I clicked that.",
12,67276dbe692855fb2502a266,3,1317748,37447,debrief,I found more truffles in the blue forest. I searched for better spots.,DIFF
13,6470b898db27d7dae24e98c4,3,1415658,65935,debrief,How high the number was on multiple of the squares around and how the map looked.,
14,6470b898db27d7dae24e98c4,3,1458225,42563,debrief,The blue one felt like more truffles and closer to each other,YES
15,6666a910c3598ec451c7ef2e,3,1564412,34474,debrief,"the colour of the truffles, if i get a red one i dig close to it",
16,6666a910c3598ec451c7ef2e,3,1596428,32014,debrief,"yes i noticed, the green forest had more truffles",DIFF
17,5f5eec89adff681a180f6aa4,0,1642465,54937,debrief,i clicked in all corners and used the color denisty of the color pink to determine which area would be more beneficial,
18,5f5eec89adff681a180f6aa4,0,1675197,32729,debrief,not really any difference. I wasnt influenced,NO
19,6154e16c9500b0262bbcabaa,2,1791488,24449,debrief,Close to a big number or random places until i found a big number,
20,6154e16c9500b0262bbcabaa,2,1802027,10536,debrief,Nop,NO
21,5ff38032559f439a49bdac82,3,1118995,43356,debrief,Followed the shades of pink and chose to settle at the darkest/highest number,
22,5ff38032559f439a49bdac82,3,1135571,16549,debrief,No influence,NO
23,6580e5dfdc7fc94823610ef5,1,765704,28774,debrief,"If I found a good one I would dig multiple times in the same spot, however I would try to find this good spot by fanning out an area and if i got a decent number I would look closer.",
24,6580e5dfdc7fc94823610ef5,1,785228,19522,debrief,I noticed barely any different. Maybe one forest it was slightly harder to find a good number,DIFF
25,65eb81eb6d0f01e143c7463a,1,1102759,33086,debrief,"I digged around the very red blocks, i clicked around I found the highest truffle point and I re-digged the area",
26,65eb81eb6d0f01e143c7463a,1,1134970,32209,debrief,I think one of the forests starting point was more guiding but in the other one it was more random so I had to explore more,OTHER
27,66cc80d93247b5e14b3b7112,2,1839334,38882,debrief,I searched next to the darker areas and the hightest numbers,
28,66cc80d93247b5e14b3b7112,2,1875567,36227,debrief,The different location didn't influence me,NO
29,66156b2dc0794709cb34b38b,3,1754440,154411,debrief,The instructions said that truffles tend to be grouped close to each other. If at the beginning the very first square was a darker colour of red then I clicked around that square to find similar dark red ones. If I found a very good spot (>60) then I clicked on the same square multiple times because it kept returning lots of truffles. The best strategy was to find one really dark red square and keep clicking on it because that one returned the most amount of truffles.,
30,66156b2dc0794709cb34b38b,3,1834333,79890,debrief,The blue forest seemed to have more darker colored squares. In blue forest it was easier to gain more truffles. But my strategy was pretty much similar in both forests. Find one really good spot and keep on clicking because it kept returning truffles.,DIFF
