subjectID,assigned_condition,time_elapsed,rt,type,answer,difference.
1,0,1856408,24323,debrief,I DIG THERE WHERE THE PATH TO THE HIGHER NUMBERS LEAD,
1,0,1874422,18009,debrief,i didnt see a diference,NO
2,3,695327,48345,debrief,"If the first spot was above 60 I stayed around there but if it was below 60 I would scan around for a better spot and then after 5-10 clicks, I would select the highest square I found for the remainder",
2,3,704601,9271,debrief,I did not notice any difference between them,NO
3,0,895581,18036,debrief,First i tried corners and then i decided where to go next,
3,0,924771,29190,debrief,Second forest was harder to guess,DIFF
4,1,1123031,49261,debrief,"According to where I saw there were more, according to how dark the color was (red).",
4,1,1155014,31979,debrief,"I didn't really notice any difference between them, so I continued the same way.",NO
5,0,1130284,32348,debrief,"Some random click in corners, far ares. Then searching for one specific spot with most truffles in it, then farming this spto",
5,0,1171951,41666,debrief,"I one there was higher truffle count, but i searched in the same way.",DIFF
6,3,1280298,69559,debrief,"I checked random locations until I found a pretty good spot, and after I checked around it to see if there are better ones. If I found one above seventy I clicked that.",
6,3,1317748,37447,debrief,I found more truffles in the blue forest. I searched for better spots.,DIFF
7,3,1415658,65935,debrief,How high the number was on multiple of the squares around and how the map looked.,
7,3,1458225,42563,debrief,The blue one felt like more truffles and closer to each other,YES
8,3,1564412,34474,debrief,"the colour of the truffles, if i get a red one i dig close to it",
8,3,1596428,32014,debrief,"yes i noticed, the green forest had more truffles",DIFF
9,0,1642465,54937,debrief,i clicked in all corners and used the color denisty of the color pink to determine which area would be more beneficial,
9,0,1675197,32729,debrief,not really any difference. I wasnt influenced,NO
10,2,1791488,24449,debrief,Close to a big number or random places until i found a big number,
10,2,1802027,10536,debrief,Nop,NO
11,3,1118995,43356,debrief,Followed the shades of pink and chose to settle at the darkest/highest number,
11,3,1135571,16549,debrief,No influence,NO
12,1,765704,28774,debrief,"If I found a good one I would dig multiple times in the same spot, however I would try to find this good spot by fanning out an area and if i got a decent number I would look closer.",
12,1,785228,19522,debrief,I noticed barely any different. Maybe one forest it was slightly harder to find a good number,DIFF
13,1,1102759,33086,debrief,"I digged around the very red blocks, i clicked around I found the highest truffle point and I re-digged the area",
13,1,1134970,32209,debrief,I think one of the forests starting point was more guiding but in the other one it was more random so I had to explore more,OTHER
14,2,1839334,38882,debrief,I searched next to the darker areas and the hightest numbers,
14,2,1875567,36227,debrief,The different location didn't influence me,NO
15,3,1754440,154411,debrief,The instructions said that truffles tend to be grouped close to each other. If at the beginning the very first square was a darker colour of red then I clicked around that square to find similar dark red ones. If I found a very good spot (>60) then I clicked on the same square multiple times because it kept returning lots of truffles. The best strategy was to find one really dark red square and keep clicking on it because that one returned the most amount of truffles.,
15,3,1834333,79890,debrief,The blue forest seemed to have more darker colored squares. In blue forest it was easier to gain more truffles. But my strategy was pretty much similar in both forests. Find one really good spot and keep on clicking because it kept returning truffles.,DIFF
16,1,1758685,29511,debrief,I randomly checked where I would find the most number of truffles and then dug around that area,
16,1,1783727,25034,debrief,I did not notice a difference between the two forests,NO
17,1,2327288,28000,debrief,"I randomly dig, if the number was high, I stayed in that range",
17,1,2359970,32679,debrief,Yes I did. The second one has low truffles,DIFF
18,1,2531076,64645,debrief,"Dig around the higher numbers and when there weren't any, I started from the middle and moved towards the corners",
18,1,2557823,26701,debrief,I did not notice any differences between them,NO
19,0,2521385,20668,debrief,Closest to the highest number,
19,0,2560192,38751,debrief,Green forest has more truffles close to each other and brown forest has them scattered,YES
20,0,2685175,117420,debrief,they were usually closer together and by the number of truffles i found where i dug,
20,0,2771190,86002,debrief,the truffles were easier to find or spot where they are in one of the forest,DIFF
21,0,2880752,174980,debrief,"I would first try to figure out where I would dig the most amount, then once I found it, I'd repeatedly dig there and raise my average score.",
21,0,2907094,26340,debrief,I did not notice any difference.,NO
22,2,2891813,16895,debrief,guessing,
22,2,2906575,14758,debrief,location,?
23,0,2946960,464452,debrief,"The initial position and the relative number of truffles is the starting point of the reasoning. If the number of truffles in the initial position is satisfactory (above average) then is most cases I am satisfied and continue to dig in the area. If instead the number of truffles found in the initial position is lower than average then I look for areas richer in truffles following your instructions, but if in the search I were to lose too many attempts then I would be satisfied and try to at least get close to the average value",
23,0,3002998,56036,debrief,I didin't notice any difference,NO
24,1,2637015,84045,debrief,"I selected the each corner first to see which area might have the most truffles around them. The corner with the highest number or darkest block, I started digging around that block.",
24,1,2793971,156865,debrief,"My strategy worked for the green forest but when i moved onto the blue forest, the blocks/numbers seemed to be scattered differently and far apart. The green forest had a predictable way of how the blocks were situated. I knew if I found the block with the highest number, it's very likely that I will find other high number blocks nearby. However, it wasn't this way for the blue forest.",YES
25,3,1332996,56228,debrief,"I was 'fishing' to being with to gauge where the clusters would be, which helped to visualise the colour density on the grid, then when found a high yeild box tended to stay there",
25,3,1348708,15710,debrief,maybe blue high values more clustered/ green more random?,YES
26,0,3021809,135094,debrief,As i have read the instruction i found out that a lot of truffles tend to appear next to each other. That is the strategy i used,
26,0,3062377,40550,debrief,I noticed that the dark forest has less truffles than the first one,DIFF
