subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,bonus,context,PCA,PEC
Ju1tvB2u,smooth,RS,223.958.333.333.333,215.208.333.333.333,8,8,469,59.907.258.065,53.460.685.484.375,2,207.688.652.075.893,smooth,-0.975097752,0.975097752
Ju1tvB2u,rough,RS,449.583.333.333.333,254.583.333.333.333,44,44,426,4.701.411.290.375,53.460.685.484.375,1,207.688.652.075.893,rough,-172.726.563.081.283,172.726.563.081.283
f0SVCK3v,smooth,RS,216.041.666.666.667,199.791.666.666.667,11,11,460,627.862.903.225,56.759.072.580.625,2,221.824.596.774.107,smooth,-0.812213169,0.812213169
f0SVCK3v,rough,RS,388.333.333.333.333,277.916.666.666.667,12,12,450,5.073.185.483.875,56.759.072.580.625,1,221.824.596.774.107,rough,-184.844.040.250.156,184.844.040.250.156
DOaZBNMm,smooth,RS,0.685416667,0.816666667,366,366,114,6.483.870.967.625,63.784.274.193.125,2,251.932.603.684.821,smooth,333.080.001.563.806,-333.080.001.563.806
DOaZBNMm,rough,RS,0.73125,0.841666667,354,354,126,6.272.983.871,63.784.274.193.125,1,251.932.603.684.821,rough,31.989.476.023.057,-31.989.476.023.057
D31X1l9U,smooth,RS,101.875,109.375,273,273,196,6.576.209.677.375,63.145.161.290.625,2,249.193.548.388.393,smooth,23.195.820.393.448,-23.195.820.393.448
D31X1l9U,rough,RS,133.541.666.666.667,118.125,258,258,216,605.282.258.075,63.145.161.290.625,1,249.193.548.388.393,rough,200.326.695.567.214,-200.326.695.567.214
KzSbGaza,smooth,SR,253.333.333.333.333,2.325,11,11,458,54.260.080.645,516.602.822.578.125,1,199.972.638.247.768,smooth,-112.182.368.090.702,112.182.368.090.702
KzSbGaza,rough,SR,393.958.333.333.333,244.166.666.666.667,9,9,448,49.060.483.870.625,516.602.822.578.125,2,199.972.638.247.768,rough,-169.556.052.258.276,169.556.052.258.276
lf1noNra,smooth,RS,0.685416667,0.702083333,362,362,118,63.655.241.935.625,605.806.451.609.375,2,238.202.764.975.446,smooth,335.791.689.861.668,-335.791.689.861.668
lf1noNra,rough,RS,114.166.666.666.667,0.9875,323,323,156,5.750.604.838.625,605.806.451.609.375,1,238.202.764.975.446,rough,270.617.831.197.654,-270.617.831.197.654
3lBCAuYe,smooth,SR,187.291.666.666.667,178.333.333.333.333,171,171,309,636.310.483.875,612.439.516.125,1,241.045.506.910.714,smooth,0.719432475,-0.719432475
3lBCAuYe,rough,SR,2.15,208.541.666.666.667,235,235,245,588.568.548.375,612.439.516.125,2,241.045.506.910.714,rough,0.989541259,-0.989541259
TDZurfdC,smooth,SR,198.958.333.333.333,210.833.333.333.333,289,289,189,63.110.887.096.875,618.407.258.065.625,1,243.603.110.599.554,smooth,150.174.998.370.164,-150.174.998.370.164
TDZurfdC,rough,SR,259.166.666.666.667,259.583.333.333.333,333,333,142,6.057.056.451.625,618.407.258.065.625,2,243.603.110.599.554,rough,13.920.932.350.179,-13.920.932.350.179
x96QHwqj,smooth,RS,243.958.333.333.333,2.05,8,8,472,5.908.669.354.875,531.935.483.871.875,2,206.543.778.802.232,smooth,-101.123.006.264.077,101.123.006.264.077
x96QHwqj,rough,RS,267.291.666.666.667,234.375,1,1,476,47.300.403.225.625,531.935.483.871.875,1,206.543.778.802.232,rough,-130.361.821.538.194,130.361.821.538.194
j2XRoyIu,smooth,SR,173.333.333.333.333,218.958.333.333.333,216,216,263,6.606.048.387,63.742.943.548.125,1,251.755.472.349.107,smooth,0.940584346,-0.940584346
j2XRoyIu,rough,SR,196.666.666.666.667,2.35,242,242,237,6.142.540.322.625,63.742.943.548.125,2,251.755.472.349.107,rough,0.983480905,-0.983480905
xyDIs5Kd,smooth,RS,166.875,189.375,20,20,452,611.209.677.425,5.658.467.742,2,221.077.188.942.857,smooth,-0.494836878,0.494836878
xyDIs5Kd,rough,RS,245.625,184.166.666.666.667,54,54,414,520.483.870.975,5.658.467.742,1,221.077.188.942.857,rough,-0.470289414,0.470289414
zE39uz5y,smooth,RS,245.208.333.333.333,24.625,3,3,474,606.008.064.525,54.689.516.129.375,2,212.955.069.125.893,smooth,-126.406.256.472.689,126.406.256.472.689
zE39uz5y,rough,RS,418.333.333.333.333,341.666.666.666.667,6,6,459,4.877.822.580.625,54.689.516.129.375,1,212.955.069.125.893,rough,-236.572.633.859.358,236.572.633.859.358
mTOAGxN5,smooth,SR,22.625,271.458.333.333.333,70,70,402,60.332.661.289.375,578.820.564.509.375,1,226.637.384.789.732,smooth,-0.740131558,0.740131558
mTOAGxN5,rough,SR,293.333.333.333.333,262.708.333.333.333,184,184,277,554.314.516.125,578.820.564.509.375,2,226.637.384.789.732,rough,0.050058477,-0.050058477
AcfXidbB,smooth,RS,0.625,0.716666667,355,355,117,64.338.709.675.625,632.530.241.921.875,2,249.655.817.966.518,smooth,33.485.009.240.828,-33.485.009.240.828
AcfXidbB,rough,RS,102.083.333.333.333,112.708.333.333.333,320,320,155,6.216.733.870.875,632.530.241.921.875,1,249.655.817.966.518,rough,267.072.579.093.871,-267.072.579.093.871
gvvdN3G6,smooth,SR,137.916.666.666.667,148.958.333.333.333,232,232,247,6.480.443.548.375,640.010.080.646.875,1,252.861.463.134.375,smooth,158.339.498.066.655,-158.339.498.066.655
gvvdN3G6,rough,SR,0.7625,0.966666667,331,331,148,63.197.580.645.625,640.010.080.646.875,2,252.861.463.134.375,rough,29.315.502.517.762,-29.315.502.517.762
qGQbseYJ,smooth,SR,286.041.666.666.667,344.375,95,95,384,6.452.419.354.875,60.824.596.774.375,1,239.248.271.890.179,smooth,-117.797.810.546.575,117.797.810.546.575
qGQbseYJ,rough,SR,296.458.333.333.333,363.958.333.333.333,181,181,296,57.125,60.824.596.774.375,2,239.248.271.890.179,rough,-0.591212236,0.591212236
JiIhncDd,smooth,SR,164.166.666.666.667,0.985416667,128,128,257,44.649.193.548.125,437.368.951.609.375,1,166.015.264.975.446,smooth,127.072.135.915.767,-127.072.135.915.767
JiIhncDd,rough,SR,169.375,0.85625,116,116,236,4.282.459.677.375,437.368.951.609.375,2,166.015.264.975.446,rough,135.708.460.095.357,-135.708.460.095.357
6lXxUPU2,smooth,SR,152.083.333.333.333,1.85,153,153,321,627.540.322.575,615.977.822.571.875,1,242.561.923.959.375,smooth,0.694743374,-0.694743374
6lXxUPU2,rough,SR,120.208.333.333.333,148.541.666.666.667,267,267,205,60.441.532.256.875,615.977.822.571.875,2,242.561.923.959.375,rough,197.784.285.817.763,-197.784.285.817.763
bnUiwcOc,smooth,SR,239.791.666.666.667,3.15,2,2,478,61.076.612.901.875,5.502.217.741.875,1,214.380.760.366.071,smooth,-162.841.990.246.336,162.841.990.246.336
bnUiwcOc,rough,SR,324.375,3.1,2,2,478,48.967.741.935.625,5.502.217.741.875,2,214.380.760.366.071,rough,-193.010.830.680.659,193.010.830.680.659
2MepxQlz,smooth,SR,2.525,303.333.333.333.333,10,10,462,5.551.814.516.125,501.290.322.578.125,1,193.410.138.247.768,smooth,-151.500.514.970.087,151.500.514.970.087
2MepxQlz,rough,SR,473.333.333.333.333,472.916.666.666.667,4,4,471,44.739.919.354.375,501.290.322.578.125,2,193.410.138.247.768,rough,-333.359.563.163.678,333.359.563.163.678
yrPD43ry,smooth,SR,231.875,235.208.333.333.333,182,182,295,62.893.145.161.875,61.167.338.710.625,1,240.717.165.902.679,smooth,0.350087245,-0.350087245
yrPD43ry,rough,SR,204.166.666.666.667,254.166.666.666.667,258,258,215,59.441.532.259.375,61.167.338.710.625,2,240.717.165.902.679,rough,101.249.530.460.601,-101.249.530.460.601
kko9jTPZ,smooth,SR,216.458.333.333.333,2.475,176,176,293,61.669.354.838.125,5.753.125,1,225.133.928.571.429,smooth,0.328036839,-0.328036839
kko9jTPZ,rough,SR,22.125,25.125,174,174,296,53.393.145.161.875,5.753.125,2,225.133.928.571.429,rough,0.268558188,-0.268558188
G1gPtpqw,smooth,SR,176.875,226.041.666.666.667,208,208,272,6.683.266.129,638.810.483.871.875,1,252.347.350.230.804,smooth,0.817880611,-0.817880611
G1gPtpqw,rough,SR,213.125,226.041.666.666.667,219,219,260,60.929.435.484.375,638.810.483.871.875,2,252.347.350.230.804,rough,0.773858249,-0.773858249
Ew6O1wAT,smooth,RS,403.958.333.333.333,383.541.666.666.667,6,6,468,58.016.129.031.875,5.383.467.741.875,2,209.291.474.651.786,smooth,-256.976.072.746.606,256.976.072.746.606
Ew6O1wAT,rough,RS,521.666.666.666.667,347.291.666.666.667,3,3,468,49.653.225.805.625,5.383.467.741.875,1,209.291.474.651.786,rough,-284.693.949.214.078,284.693.949.214.078
DEv1aHNJ,smooth,RS,109.791.666.666.667,147.291.666.666.667,286,286,194,66.695.564.516.875,626.965.725.809.375,2,247.271.025.346.875,smooth,215.083.376.602.718,-215.083.376.602.718
DEv1aHNJ,rough,RS,157.291.666.666.667,1.575,234,234,245,58.697.580.645,626.965.725.809.375,1,247.271.025.346.875,rough,147.975.605.033.791,-147.975.605.033.791
fxpB9QGa,smooth,SR,310.208.333.333.333,3.175,108,108,368,61.909.274.193.125,595.796.370.959.375,1,233.912.730.411.161,smooth,-100.746.835.875.051,100.746.835.875.051
