"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","bonus","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"1",1,"5783a5316475d400015a8d18","smooth","RS",2.23958333333333,2.15208333333333,8,8,469,59.907258065,53.460685484375,2,2.07688652075893,"smooth",-0.975097751585202,0.975097751585202,3,0.977083333333333,0.0166666666666667,0.651140146993105,0.525686301398788,0.0884795912086718,0.0320704927820357,0.237158547752541,0.222042361812335,1387.75729127299,43,-36,-2.25625,-0.39375,-0.186325526769444,-0.279273339900787,-1.0531568925519
"2",2,"5783a5316475d400015a8d18","rough","RS",4.49583333333333,2.54583333333333,44,44,426,47.01411290375,53.460685484375,1,2.07688652075893,"rough",-1.72726563081283,1.72726563081283,3,0.8875,0.0916666666666667,0.604789134943215,0.304486549245535,0.0530640930245989,0.0320704927820357,0.237158547752541,0.222042361812335,1596.15089840423,43,-36,-2.25625,-0.39375,-0.21839601955148,-0.516431887653327,-1.27519925436424
"3",3,"5b21646bdf28a7000166f4dc","smooth","RS",2.16041666666667,1.99791666666667,11,11,460,62.7862903225,56.759072580625,2,2.21824596774107,"smooth",-0.812213168597885,0.812213168597885,3,0.958333333333333,0.0229166666666667,0.738044557103067,0.454192939789066,0.0745877893462766,-0.0158336229815436,0.0706516478756642,0.0472182492618327,1211.06345187491,10,-1,-1.72291666666666,-0.78125,-0.131917418231355,-0.342759620962785,-1.12733226439842
"4",4,"5b21646bdf28a7000166f4dc","rough","RS",3.88333333333333,2.77916666666667,12,12,450,50.73185483875,56.759072580625,1,2.21824596774107,"rough",-1.84844040250156,1.84844040250156,3,0.9375,0.025,0.76544890259323,0.38600126786314,0.0669035998604359,-0.0158336229815436,0.0706516478756642,0.0472182492618327,1597.72933627844,10,-1,-1.72291666666666,-0.78125,-0.116083795249812,-0.413411268838449,-1.17455051366026
"5",5,"5b258c9ba7cee100011d8aad","smooth","RS",0.685416666666667,0.816666666666667,366,366,114,64.83870967625,63.784274193125,2,2.51932603684821,"smooth",3.33080001563806,-3.33080001563806,3,0.2375,0.7625,1.09368628083047,0.0433695703305817,0.0327002401792175,-0.949719904646697,0.808657529059954,-0.144338442084194,900.991634229334,-12,12,-0.0458333333333329,-0.025,0.0388927643710995,-1.36281488045631,-1.48544905748877
"6",6,"5b258c9ba7cee100011d8aad","rough","RS",0.73125,0.841666666666667,354,354,126,62.72983871,63.784274193125,1,2.51932603684821,"rough",3.1989476023057,-3.1989476023057,3,0.2625,0.7375,9.74120468624377,0.00673794699908547,0.0455920777509663,-0.949719904646697,0.808657529059954,-0.144338442084194,1122.73850683555,-12,12,-0.0458333333333329,-0.025,0.988612669017796,-2.17147240951626,-1.34111061540458
"7",7,"5c59baa95e09ea00015521d9","smooth","RS",1.01875,1.09375,273,273,196,65.76209677375,63.145161290625,2,2.49193548388393,"smooth",2.3195820393448,-2.3195820393448,3,0.408333333333333,0.56875,0.581366735896702,0.19662207819461,0.0469393838779564,-0.0493879912679739,0.0343274205819117,0.0851066092855615,1212.8123621081,-20,15,-0.31666666666667,-0.0874999999999999,-0.235549820914045,-0.706367717939596,-1.32846261520951
"8",8,"5c59baa95e09ea00015521d9","rough","RS",1.33541666666667,1.18125,258,258,216,60.5282258075,63.145161290625,1,2.49193548388393,"rough",2.00326695567214,-2.00326695567214,3,0.45,0.5375,0.651385625266949,0.181679054680005,0.0385860902282127,-0.0493879912679739,0.0343274205819117,0.0851066092855615,1089.25001392044,-20,15,-0.31666666666667,-0.0874999999999999,-0.186161829646071,-0.740695138521508,-1.41356922449508
"9",9,"5d389202459755001992a0f2","smooth","SR",2.53333333333333,2.325,11,11,458,54.260080645,51.6602822578125,1,1.99972638247768,"smooth",-1.12182368090702,1.12182368090702,3,0.954166666666667,0.0229166666666667,0.698564020834482,0.465878647094932,0.0720304125107116,-0.0127481067991195,0.00169616885260243,-0.0194610752063986,1511.06799898922,10,2,-1.40625,-0.11666666666667,-0.155793786226906,-0.331727194384057,-1.14248409805667
"10",10,"5d389202459755001992a0f2","rough","SR",3.93958333333333,2.44166666666667,9,9,448,49.060483870625,51.6602822578125,2,1.99972638247768,"rough",-1.69556052258276,1.69556052258276,3,0.933333333333333,0.01875,0.719373309786084,0.464062672495008,0.0753315627853,-0.0127481067991195,0.00169616885260243,-0.0194610752063986,1494.59305024724,10,2,-1.40625,-0.11666666666667,-0.143045679427786,-0.33342336323666,-1.12302302285028
"11",11,"5d4a7ebbb7802400186c6b85","smooth","RS",0.685416666666667,0.702083333333333,362,362,118,63.655241935625,60.5806451609375,2,2.38202764975446,"smooth",3.35791689861668,-3.35791689861668,3,0.245833333333333,0.754166666666667,0.654652160636588,0.115979767739669,0.0300328226654126,-1.15296207752967,1.23585464421401,-0.245965770407815,766.946735466733,-38,39,-0.456250000000003,-0.285416666666667,-0.183989394423438,-0.935617765302247,-1.52240384827375
"12",12,"5d4a7ebbb7802400186c6b85","rough","RS",1.14166666666667,0.9875,323,323,156,57.50604838625,60.5806451609375,1,2.38202764975446,"rough",2.70617831197654,-2.70617831197654,3,0.325,0.672916666666667,9.31049311115599,0.00673794699908547,0.0529129435626386,-1.15296207752967,1.23585464421401,-0.245965770407815,1566.09812252927,-38,39,-0.456250000000003,-0.285416666666667,0.968972683106236,-2.17147240951626,-1.27643807786593
"13",13,"5d6ff29b6fa93a001d61fc06","smooth","SR",1.87291666666667,1.78333333333333,171,171,309,63.6310483875,61.2439516125,1,2.41045506910714,"smooth",0.719432475094574,-0.719432475094574,3,0.64375,0.35625,0.968480558217202,0.246582936255279,0.0564904717164749,-0.133974037552873,0.279531463342701,0.124024623213564,1513.19410128315,64,-64,-0.27708333333333,-0.30208333333334,-0.0139090931108342,-0.608036980240612,-1.24802479872788
"14",14,"5d6ff29b6fa93a001d61fc06","rough","SR",2.15,2.08541666666667,235,235,245,58.8568548375,61.2439516125,2,2.41045506910714,"rough",0.989541259051865,-0.989541259051865,3,0.510416666666667,0.489583333333333,1.31845388554666,0.129548251704382,0.0424571245742677,-0.133974037552873,0.279531463342701,0.124024623213564,1530.30634277044,64,-64,-0.27708333333333,-0.30208333333334,0.120064944442039,-0.887568443583314,-1.37204942194145
"15",15,"5d7d467f306346001a7a6844","smooth","SR",1.98958333333333,2.10833333333333,289,289,189,63.110887096875,61.8407258065625,1,2.43603110599554,"smooth",1.50174998370164,-1.50174998370164,3,0.39375,0.602083333333333,0.706847485044683,0.155397115989469,0.0399034795830144,0.0292229914992869,0.21037952131774,0.0878305364725127,1204.0625990973,47,-44,-0.60208333333334,-0.4875,-0.150674282877543,-0.808557045518902,-1.39898923218759
"16",16,"5d7d467f306346001a7a6844","rough","SR",2.59166666666667,2.59583333333333,333,333,142,60.57056451625,61.8407258065625,2,2.43603110599554,"rough",1.3920932350179,-1.3920932350179,3,0.295833333333333,0.69375,0.660849743278311,0.0957333889516968,0.0325971950642346,0.0292229914992869,0.21037952131774,0.0878305364725127,1096.42933972505,47,-44,-0.60208333333334,-0.4875,-0.17989727437683,-1.01893656683664,-1.4868197686601
"17",17,"5dbc09abbc03131b83aeeacd","smooth","RS",2.43958333333333,2.05,8,8,472,59.08669354875,53.1935483871875,2,2.06543778802232,"smooth",-1.01123006264077,1.01123006264077,3,0.983333333333333,0.0166666666666667,0.641670293082744,0.561651512527814,0.0934335097338473,-0.0505265942444644,0.091803948449371,0.0974955717344903,1465.82352983754,-4,7,-0.23333333333334,-0.29375,-0.192688066441832,-0.250533067223287,-1.0294973370197
"18",18,"5dbc09abbc03131b83aeeacd","rough","RS",2.67291666666667,2.34375,1,1,476,47.300403225625,53.1935483871875,1,2.06543778802232,"rough",-1.30361821538194,1.30361821538194,3,0.991666666666667,0.00208333333333333,0.720839418752572,0.454635123068934,0.0746460946671877,-0.0505265942444644,0.091803948449371,0.0974955717344903,1657.21156899891,-4,7,-0.23333333333334,-0.29375,-0.142161472197368,-0.342337015672658,-1.12699290875419
"19",19,"5ed131544533f004a120573b","smooth","SR",1.73333333333333,2.18958333333333,216,216,263,66.06048387,63.742943548125,1,2.51755472349107,"smooth",0.940584345942055,-0.940584345942055,3,0.547916666666667,0.45,3.57992313537548,0.00673794699908547,0.0566616783752732,0.623583742332537,-1.42526973068848,0.0993531988694938,1481.99900717248,26,-26,-0.23333333333334,-0.16041666666667,0.553873701995648,-2.17147240951626,-1.24671056539052
"20",20,"5ed131544533f004a120573b","rough","SR",1.96666666666667,2.35,242,242,237,61.42540322625,63.742943548125,2,2.51755472349107,"rough",0.983480904937321,-0.983480904937321,3,0.49375,0.504166666666667,0.851706496045744,0.179389624653739,0.0450750519304056,0.623583742332537,-1.42526973068848,0.0993531988694938,1387.73335767481,26,-26,-0.23333333333334,-0.16041666666667,-0.0697100403368894,-0.746202678827779,-1.34606376426001
"21",21,"5f3077986a37984e5af7d994","smooth","RS",1.66875,1.89375,20,20,452,61.1209677425,56.58467742,2,2.21077188942857,"smooth",-0.494836877775385,0.494836877775385,3,0.941666666666667,0.0416666666666667,0.701859555168375,0.460402150822771,0.0797437304512071,0.0330391210781726,0.0956065071515693,0.109346699814312,1406.72253525881,38,-34,-0.7875,0.0520833333333302,-0.153749783194397,-0.336862656179781,-1.09830345168743
"22",22,"5f3077986a37984e5af7d994","rough","RS",2.45625,1.84166666666667,54,54,414,52.0483870975,56.58467742,1,2.21077188942857,"rough",-0.470289413976356,0.470289413976356,3,0.8625,0.1125,0.650445773012282,0.369428874374633,0.0619940270550304,0.0330391210781726,0.0956065071515693,0.109346699814312,1479.07438170107,38,-34,-0.7875,0.0520833333333302,-0.186788904272569,-0.43246916333135,-1.20765015150175
"23",23,"5f49fd29edde0c564e9f83c6","smooth","RS",2.45208333333333,2.4625,3,3,474,60.6008064525,54.689516129375,2,2.12955069125893,"smooth",-1.26406256472689,1.26406256472689,3,0.9875,0.00625,17.6311399364001,0.658253646474891,0.0645957952811238,1.31177816071216,0.225439166286598,-0.0636635602838413,1805.10239940053,15,-3,-1.73125,-0.95416666666667,1.24628039239482,-0.181606726388947,-1.18979575051323
"24",24,"5f49fd29edde0c564e9f83c6","rough","RS",4.18333333333333,3.41666666666667,6,6,459,48.77822580625,54.689516129375,1,2.12955069125893,"rough",-2.36572633859358,2.36572633859358,3,0.95625,0.0125,0.860007486145703,0.391700483229302,0.0747941807892709,1.31177816071216,0.225439166286598,-0.0636635602838413,1903.66023638042,15,-3,-1.73125,-0.95416666666667,-0.0654977683173402,-0.407045892675545,-1.12613219022939
"25",25,"5f5eec89adff681a180f6aa4","smooth","SR",2.2625,2.71458333333333,70,70,402,60.332661289375,57.8820564509375,1,2.26637384789732,"smooth",-0.740131558148217,0.740131558148217,3,0.8375,0.145833333333333,11.6899717341478,0.00673794699908547,0.0574198791690365,-0.0750737548347127,0,0.138200742507137,1714.84082342737,125,-114,-0.67083333333333,0.0874999999999999,1.06781346105761,-2.17147240951626,-1.24093772574191
"26",26,"5f5eec89adff681a180f6aa4","rough","SR",2.93333333333333,2.62708333333333,184,184,277,55.4314516125,57.8820564509375,2,2.26637384789732,"rough",0.0500584772374505,-0.0500584772374505,3,0.577083333333333,0.383333333333333,13.8959171432393,0.00673794699908547,0.0417697168967706,-0.0750737548347127,0,0.138200742507137,1723.8464362271,125,-114,-0.67083333333333,0.0874999999999999,1.14288721589232,-2.17147240951626,-1.37913846824905
"27",27,"5ff38032559f439a49bdac82","smooth","RS",0.625,0.716666666666667,355,355,117,64.338709675625,63.2530241921875,2,2.49655817966518,"smooth",3.3485009240828,-3.3485009240828,3,0.24375,0.739583333333333,1.08651158604393,0.00673794699908547,0.0301583952532381,0.29539261435441,-1.36827482821564,-0.0794626022657672,911.24121000366,-38,35,-0.39583333333333,-0.410416666666663,0.0360343617914869,-2.17147240951626,-1.52059177126398
"28",28,"5ff38032559f439a49bdac82","rough","RS",1.02083333333333,1.12708333333333,320,320,155,62.16733870875,63.2530241921875,1,2.49655817966518,"rough",2.67072579093871,-2.67072579093871,3,0.322916666666667,0.666666666666667,0.550353518627945,0.157326694735655,0.03621352751792,0.29539261435441,-1.36827482821564,-0.0794626022657672,1328.67029733543,-38,35,-0.39583333333333,-0.410416666666663,-0.259358252562923,-0.803197581300616,-1.44112916899821
"29",29,"6007421356226920359b5f3e","smooth","SR",1.37916666666667,1.48958333333333,232,232,247,64.80443548375,64.0010080646875,1,2.52861463134375,"smooth",1.58339498066655,-1.58339498066655,3,0.514583333333333,0.483333333333333,6.31428181867837,0.00673794699908547,0.0510365521420103,0.952733557876423,-1.2760389579956,0.17360858329471,1305.9494290101,99,-99,0.61666666666667,0.522916666666663,0.800323961396169,-2.17147240951626,-1.29211867277195
"30",30,"6007421356226920359b5f3e","rough","SR",0.7625,0.966666666666667,331,331,148,63.197580645625,64.0010080646875,2,2.52861463134375,"rough",2.9315502517762,-2.9315502517762,3,0.308333333333333,0.689583333333333,0.704028764576981,0.127223268386349,0.0342194278567835,0.952733557876423,-1.2760389579956,0.17360858329471,1027.74429080835,99,-99,0.61666666666667,0.522916666666663,-0.152409596480254,-0.895433451520664,-1.46572725606666
"31",31,"601a682ebca398285673a4c8","smooth","SR",2.86041666666667,3.44375,95,95,384,64.52419354875,60.824596774375,1,2.39248271890179,"smooth",-1.17797810546575,1.17797810546575,3,0.8,0.197916666666667,13.5857301767269,1.32584047069407,0.0678794271579225,1.24562064252086,0.792144358701808,0.0821010502937949,1725.26333192501,88,-86,-0.10416666666666,-0.19583333333333,1.13308298491081,0.122491271530855,-1.1682618313986
"32",32,"601a682ebca398285673a4c8","rough","SR",2.96458333333333,3.63958333333333,181,181,296,57.125,60.824596774375,2,2.39248271890179,"rough",-0.591212236487124,0.591212236487124,3,0.616666666666667,0.377083333333333,0.771724596558584,0.213967056799985,0.0561871648162838,1.24562064252086,0.792144358701808,0.0821010502937949,1747.0803624848,88,-86,-0.10416666666666,-0.19583333333333,-0.112537657610053,-0.669653087170953,-1.2503628816924
