subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,bonus,context,PCA,PEC,E,Novclicksp,HVclicksp,l,b,t,dlogl,dlogb,dlogt,NLL,dnov,dhv,dd,ddprev,logl,logb,logt
Ju1tvB2u,smooth,RS,223.958.333.333.333,215.208.333.333.333,8,8,469,59.907.258.065,53.460.685.484.375,2,207.688.652.075.893,smooth,-0.975097752,0.975097752,3,0.977083333,0.016666667,0.651140147,0.525686301,0.088479591,0.032070493,0.237158548,0.222042362,138.775.729.127.299,43,-36,-225.625,-0.39375,-0.186325527,-0.27927334,-10.531.568.925.519
Ju1tvB2u,rough,RS,449.583.333.333.333,254.583.333.333.333,44,44,426,4.701.411.290.375,53.460.685.484.375,1,207.688.652.075.893,rough,-172.726.563.081.283,172.726.563.081.283,3,0.8875,0.091666667,0.604789135,0.304486549,0.053064093,0.032070493,0.237158548,0.222042362,159.615.089.840.423,43,-36,-225.625,-0.39375,-0.21839602,-0.516431888,-127.519.925.436.424
f0SVCK3v,smooth,RS,216.041.666.666.667,199.791.666.666.667,11,11,460,627.862.903.225,56.759.072.580.625,2,221.824.596.774.107,smooth,-0.812213169,0.812213169,3,0.958333333,0.022916667,0.738044557,0.45419294,0.074587789,-0.015833623,0.070651648,0.047218249,121.106.345.187.491,10,-1,-172.291.666.666.666,-0.78125,-0.131917418,-0.342759621,-112.733.226.439.842
f0SVCK3v,rough,RS,388.333.333.333.333,277.916.666.666.667,12,12,450,5.073.185.483.875,56.759.072.580.625,1,221.824.596.774.107,rough,-184.844.040.250.156,184.844.040.250.156,3,0.9375,0.025,0.765448903,0.386001268,0.0669036,-0.015833623,0.070651648,0.047218249,159.772.933.627.844,10,-1,-172.291.666.666.666,-0.78125,-0.116083795,-0.413411269,-117.455.051.366.026
DOaZBNMm,smooth,RS,0.685416667,0.816666667,366,366,114,6.483.870.967.625,63.784.274.193.125,2,251.932.603.684.821,smooth,333.080.001.563.806,-333.080.001.563.806,3,0.2375,0.7625,109.368.628.083.047,0.04336957,0.03270024,-0.949719905,0.808657529,-0.144338442,900.991.634.229.334,-12,12,-0.045833333,-0.025,0.038892764,-136.281.488.045.631,-148.544.905.748.877
DOaZBNMm,rough,RS,0.73125,0.841666667,354,354,126,6.272.983.871,63.784.274.193.125,1,251.932.603.684.821,rough,31.989.476.023.057,-31.989.476.023.057,3,0.2625,0.7375,974.120.468.624.377,0.006737947,0.045592078,-0.949719905,0.808657529,-0.144338442,112.273.850.683.555,-12,12,-0.045833333,-0.025,0.988612669,-217.147.240.951.626,-134.111.061.540.458
D31X1l9U,smooth,RS,101.875,109.375,273,273,196,6.576.209.677.375,63.145.161.290.625,2,249.193.548.388.393,smooth,23.195.820.393.448,-23.195.820.393.448,3,0.408333333,0.56875,0.581366736,0.196622078,0.046939384,-0.049387991,0.034327421,0.085106609,12.128.123.621.081,-20,15,-0.316666667,-0.0875,-0.235549821,-0.706367718,-132.846.261.520.951
D31X1l9U,rough,RS,133.541.666.666.667,118.125,258,258,216,605.282.258.075,63.145.161.290.625,1,249.193.548.388.393,rough,200.326.695.567.214,-200.326.695.567.214,3,0.45,0.5375,0.651385625,0.181679055,0.03858609,-0.049387991,0.034327421,0.085106609,108.925.001.392.044,-20,15,-0.316666667,-0.0875,-0.18616183,-0.740695139,-141.356.922.449.508
KzSbGaza,smooth,SR,253.333.333.333.333,2.325,11,11,458,54.260.080.645,516.602.822.578.125,1,199.972.638.247.768,smooth,-112.182.368.090.702,112.182.368.090.702,3,0.954166667,0.022916667,0.698564021,0.465878647,0.072030413,-0.012748107,0.001696169,-0.019461075,151.106.799.898.922,10,2,-140.625,-0.116666667,-0.155793786,-0.331727194,-114.248.409.805.667
KzSbGaza,rough,SR,393.958.333.333.333,244.166.666.666.667,9,9,448,49.060.483.870.625,516.602.822.578.125,2,199.972.638.247.768,rough,-169.556.052.258.276,169.556.052.258.276,3,0.933333333,0.01875,0.71937331,0.464062672,0.075331563,-0.012748107,0.001696169,-0.019461075,149.459.305.024.724,10,2,-140.625,-0.116666667,-0.143045679,-0.333423363,-112.302.302.285.028
lf1noNra,smooth,RS,0.685416667,0.702083333,362,362,118,63.655.241.935.625,605.806.451.609.375,2,238.202.764.975.446,smooth,335.791.689.861.668,-335.791.689.861.668,3,0.245833333,0.754166667,0.654652161,0.115979768,0.030032823,-115.296.207.752.967,123.585.464.421.401,-0.24596577,766.946.735.466.733,-38,39,-0.45625,-0.285416667,-0.183989394,-0.935617765,-152.240.384.827.375
lf1noNra,rough,RS,114.166.666.666.667,0.9875,323,323,156,5.750.604.838.625,605.806.451.609.375,1,238.202.764.975.446,rough,270.617.831.197.654,-270.617.831.197.654,3,0.325,0.672916667,931.049.311.115.599,0.006737947,0.052912944,-115.296.207.752.967,123.585.464.421.401,-0.24596577,156.609.812.252.927,-38,39,-0.45625,-0.285416667,0.968972683,-217.147.240.951.626,-127.643.807.786.593
3lBCAuYe,smooth,SR,187.291.666.666.667,178.333.333.333.333,171,171,309,636.310.483.875,612.439.516.125,1,241.045.506.910.714,smooth,0.719432475,-0.719432475,3,0.64375,0.35625,0.968480558,0.246582936,0.056490472,-0.133974038,0.279531463,0.124024623,151.319.410.128.315,64,-64,-0.277083333,-0.302083333,-0.013909093,-0.60803698,-124.802.479.872.788
3lBCAuYe,rough,SR,2.15,208.541.666.666.667,235,235,245,588.568.548.375,612.439.516.125,2,241.045.506.910.714,rough,0.989541259,-0.989541259,3,0.510416667,0.489583333,131.845.388.554.666,0.129548252,0.042457125,-0.133974038,0.279531463,0.124024623,153.030.634.277.044,64,-64,-0.277083333,-0.302083333,0.120064944,-0.887568444,-137.204.942.194.145
TDZurfdC,smooth,SR,198.958.333.333.333,210.833.333.333.333,289,289,189,63.110.887.096.875,618.407.258.065.625,1,243.603.110.599.554,smooth,150.174.998.370.164,-150.174.998.370.164,3,0.39375,0.602083333,0.706847485,0.155397116,0.03990348,0.029222991,0.210379521,0.087830536,12.040.625.990.973,47,-44,-0.602083333,-0.4875,-0.150674283,-0.808557046,-139.898.923.218.759
TDZurfdC,rough,SR,259.166.666.666.667,259.583.333.333.333,333,333,142,6.057.056.451.625,618.407.258.065.625,2,243.603.110.599.554,rough,13.920.932.350.179,-13.920.932.350.179,3,0.295833333,0.69375,0.660849743,0.095733389,0.032597195,0.029222991,0.210379521,0.087830536,109.642.933.972.505,47,-44,-0.602083333,-0.4875,-0.179897274,-101.893.656.683.664,-14.868.197.686.601
x96QHwqj,smooth,RS,243.958.333.333.333,2.05,8,8,472,5.908.669.354.875,531.935.483.871.875,2,206.543.778.802.232,smooth,-101.123.006.264.077,101.123.006.264.077,3,0.983333333,0.016666667,0.641670293,0.561651513,0.09343351,-0.050526594,0.091803948,0.097495572,146.582.352.983.754,-4,7,-0.233333333,-0.29375,-0.192688066,-0.250533067,-10.294.973.370.197
